dataset,method,aug_f1_mean,aug_f1_std,gain_mean,gain_std,best_val_f1_mean,aug_count_mean,actual_aug_ratio_mean,n_seeds
atrialfibrillation,wdba_sameclass,0.3112763779430446,0.02308981197149801,0.07673314339981006,0.095717890141267,0.8518518518518517,120.0,10.0,3
atrialfibrillation,csta_topk_uniform_top5,0.26854256854256847,0.10282668713089323,0.033999333999334004,0.1802848026181287,0.7037037037037036,120.0,10.0,3
atrialfibrillation,dba_sameclass,0.25895061728395063,0.06829501418147935,0.024407382740716067,0.010274273893760646,0.5925925925925926,120.0,10.0,3
atrialfibrillation,csta_template_random_within_bank,0.22866762866762866,0.10664721144223155,-0.005875605875605853,0.1848626435469584,0.7037037037037036,120.0,10.0,3
atrialfibrillation,random_cov_state,0.17222222222222225,0.10555555555555554,-0.06232101232101233,0.09714690001543247,0.8518518518518517,120.0,10.0,3
atrialfibrillation,cs_flow_single_step,0.16365486365486362,0.05331321619040818,-0.0708883708883709,0.025197038236682436,0.7037037037037036,120.0,10.0,3
atrialfibrillation,pca_cov_state,0.11259666259666261,0.06107924617824287,-0.12194657194657195,0.036311696015674036,0.7037037037037036,120.0,10.0,3
ering,pca_cov_state,0.8501776214953166,0.02146308879579797,0.10325621365072017,0.1807877628639854,1.0,240.0,10.0,3
ering,dba_sameclass,0.8338175766315175,0.037837102528288646,0.08689616878692097,0.1421455030477479,0.9259259259259259,240.0,10.0,3
ering,csta_topk_uniform_top5,0.8205151780046046,0.05623328413328154,0.07359377016000805,0.12405371550840207,0.9259259259259259,240.0,10.0,3
ering,csta_template_random_within_bank,0.816695320414201,0.03346810058341903,0.06977391256960448,0.1524736028195712,0.9259259259259259,240.0,10.0,3
ering,random_cov_state,0.7878228568457231,0.10050334503549231,0.04090144900112658,0.21826155887232665,0.9259259259259259,240.0,10.0,3
ering,wdba_sameclass,0.7726425828702798,0.08585020861739956,0.025721175025683274,0.10485195993912999,0.9259259259259259,240.0,10.0,3
ering,cs_flow_single_step,0.7133669838094958,0.1672949913017032,-0.03355442403510075,0.2393587346110452,0.9259259259259259,240.0,10.0,3
handmovementdirection,wdba_sameclass,0.36940528831465413,0.014446574582233166,0.15971401374663743,0.040447958118116585,0.49202153148231575,1280.0,10.0,3
handmovementdirection,dba_sameclass,0.35262496501639,0.037151630532860934,0.1429336904483733,0.018023036596910697,0.4814663370971421,1280.0,10.0,3
handmovementdirection,pca_cov_state,0.2976569238271552,0.04837749046066794,0.08796564925913852,0.030635633046443702,0.3596262526603084,1280.0,10.0,3
handmovementdirection,random_cov_state,0.2903481591789633,0.04023005635810931,0.0806568846109466,0.050915505053531804,0.3538951953619136,1280.0,10.0,3
handmovementdirection,csta_template_random_within_bank,0.2866219449577145,0.05261277827287705,0.0769306703896978,0.07275717833518235,0.397350076394194,1280.0,10.0,3
handmovementdirection,csta_topk_uniform_top5,0.2723931737766877,0.03121677247031496,0.06270189920867104,0.007994747477931195,0.36752671890925126,1280.0,10.0,3
handmovementdirection,cs_flow_single_step,0.26884897277651937,0.022176125141765306,0.059157698208502724,0.024943596793623936,0.37637449982651217,1280.0,10.0,3
