dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,activation_policy,activation_scope,activation_topk,activation_tau,operator_name,dictionary_estimator,safe_generator,bridge_realizer,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,gamma_requested_mean,gamma_used_mean,gamma_zero_rate,host_geom_cosine_mean,host_conflict_rate,candidate_total_count,aug_total_count,requested_k_dir,effective_k_dir,safe_clip_rate,template_usage_entropy,top_template_concentration,aug_valid_rate,candidate_audit_rows,candidate_audit_available,candidate_accept_rate,candidate_physics_ok,candidate_audit_path,z_displacement_norm_mean,template_response_abs_mean,gamma_requested_mean_audit,gamma_used_mean_audit,safe_radius_ratio_mean_audit,safe_clip_rate_audit,gamma_zero_rate_audit,manifold_margin_mean_audit,transport_error_logeuc_mean_audit,template_usage_entropy_audit,top_template_concentration_audit,gamma_used_gt_requested_count,safe_radius_ratio_out_of_bounds_count,direction_bank_source,utilization_mode,core_training_mode,aug_train_ratio,multi_template_pairs,template_selection,zpia_z_dim,zpia_n_train,zpia_n_train_lt_z_dim,zpia_row_norm_min,zpia_row_norm_max,zpia_row_norm_mean,zpia_fallback_row_count,telm2_recon_last,telm2_recon_mean,telm2_recon_std,selected_template_entropy
atrialfibrillation,1,csta_topk_uniform_top5,success,,0.2164502164502164,0.1693121693121693,-0.04713804713804709,120,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,0.5555555555555555,30,0,0,5.774522086023353,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.000127517062351,0.0270630724099429,1.0354802418810227,0.0542984038045881,0.272207096827781,1.0436398830928968,0.05,0.0,0.0,0.0,0.0,120,120,10,10,0.0,1.6326309271483517,0.3333333333333333,1.0,120,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_step3_diagnostic_sweep_etafix/resnet1d_s123/g0.05_e0.25/_csta_runs/csta_topk_uniform_top5/atrialfibrillation/s1/candidate_audit/atrialfibrillation_s1_csta_topk_uniform_top5_candidate_audit.csv.gz,0.0499999994816028,0.7712366194835014,0.05,0.05,0.272207096827781,0.0,0.0,1.0436398830928968,0.0270630724099429,1.6326309271483517,0.3333333333333333,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1,topk_uniform_top5,3,12,False,1.0,1.0,1.0,0,0.2550371083690743,0.2867997950590593,0.0662662563935412,1.6326309271483517
atrialfibrillation,2,csta_topk_uniform_top5,success,,0.3205128205128205,0.1555555555555555,-0.16495726495726498,120,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,1.0,30,0,0,5.409141279000323,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001274879542433,0.0332109129988426,1.025600982629183,0.0563161041186449,0.2631824896993269,1.033774431547862,0.05,0.0,0.0,0.0,0.0,120,120,10,10,0.0,1.7917594692210548,0.3333333333333333,1.0,120,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_step3_diagnostic_sweep_etafix/resnet1d_s123/g0.05_e0.25/_csta_runs/csta_topk_uniform_top5/atrialfibrillation/s2/candidate_audit/atrialfibrillation_s2_csta_topk_uniform_top5_candidate_audit.csv.gz,0.049999999718516,0.7209085493585774,0.05,0.05,0.2631824896993269,0.0,0.0,1.033774431547862,0.0332109129988426,1.7917594692210548,0.3333333333333333,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1,topk_uniform_top5,3,12,False,1.0,1.0,1.0,0,0.3592279026832697,0.3777094475231055,0.043015200500775,1.7917594692210548
atrialfibrillation,3,csta_topk_uniform_top5,success,,0.1666666666666666,0.1666666666666666,0.0,120,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,0.5555555555555555,30,0,0,5.35287734598387,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001275326958207,0.0324000870584135,1.0356984815159092,0.0571120241820079,0.272830014090246,0.8437962467856865,0.05,0.0,0.0,0.0,0.0,120,120,10,10,0.0,1.6609474332809178,0.25,1.0,120,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_step3_diagnostic_sweep_etafix/resnet1d_s123/g0.05_e0.25/_csta_runs/csta_topk_uniform_top5/atrialfibrillation/s3/candidate_audit/atrialfibrillation_s3_csta_topk_uniform_top5_candidate_audit.csv.gz,0.0500000005497095,0.7053551739904176,0.05,0.05,0.272830014090246,0.0,0.0,0.8437962467856865,0.0324000870584135,1.6609474332809178,0.25,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1,topk_uniform_top5,3,12,False,1.0,1.0,1.0,0,0.2480053213535128,0.2473399434098298,0.0043627584516276,1.6609474332809178
ering,1,csta_topk_uniform_top5,success,,0.5424850558740912,0.8201919679860857,0.2777069121119945,240,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,0.7777777777777777,30,0,0,5.401468732976355,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.000180339807508,0.0013176435879078,1.0488631737025405,0.0746254545320618,0.2135878948780244,1.0850636769840405,0.05,0.0,0.0,0.0,0.0,240,240,10,10,0.0,2.0377128268608677,0.2083333333333333,1.0,240,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_step3_diagnostic_sweep_etafix/resnet1d_s123/g0.05_e0.25/_csta_runs/csta_topk_uniform_top5/ering/s1/candidate_audit/ering_s1_csta_topk_uniform_top5_candidate_audit.csv.gz,0.0499999996874633,0.5080745053208268,0.05,0.05,0.2135878948780244,0.0,0.0,1.0850636769840405,0.0013176435879078,2.0377128268608677,0.2083333333333333,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1,topk_uniform_top5,10,24,False,1.0,1.0,1.0,0,0.323908626804241,0.3384924606380963,0.0053674422524026,2.0377128268608677
ering,2,csta_topk_uniform_top5,success,,0.848105426301868,0.8854512670030954,0.03734584070122737,240,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,1.0,22,0,0,5.153700317023322,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001803049179295,0.0013019800768133,1.047850590919324,0.0713474812391931,0.2204065089767299,1.0484200830955133,0.05,0.0,0.0,0.0,0.0,240,240,10,10,0.0,2.003428294150429,0.2916666666666667,1.0,240,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_step3_diagnostic_sweep_etafix/resnet1d_s123/g0.05_e0.25/_csta_runs/csta_topk_uniform_top5/ering/s2/candidate_audit/ering_s2_csta_topk_uniform_top5_candidate_audit.csv.gz,0.0499999999940713,0.54606562299,0.05,0.05,0.2204065089767299,0.0,0.0,1.0484200830955133,0.0013019800768133,2.003428294150429,0.2916666666666667,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1,topk_uniform_top5,10,24,False,1.0,1.0,1.0,0,0.3222339555125668,0.3261402467539024,0.0143436075719679,2.003428294150429
ering,3,csta_topk_uniform_top5,success,,0.8501737413578302,0.8736076076466545,0.023433866288824268,240,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,1.0,23,0,0,5.34792541700881,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001803050382544,0.0013508836930316,1.0457711600600237,0.0711091628047074,0.2147860128805359,1.0999095086492523,0.05,0.0,0.0,0.0,0.0,240,240,10,10,0.0,1.9097057700482944,0.2916666666666667,1.0,240,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_step3_diagnostic_sweep_etafix/resnet1d_s123/g0.05_e0.25/_csta_runs/csta_topk_uniform_top5/ering/s3/candidate_audit/ering_s3_csta_topk_uniform_top5_candidate_audit.csv.gz,0.0500000001991192,0.5401062437558427,0.05,0.05,0.2147860128805359,0.0,0.0,1.0999095086492523,0.0013508836930316,1.9097057700482944,0.2916666666666667,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1,topk_uniform_top5,10,24,False,1.0,1.0,1.0,0,0.286704659174984,0.2865740186565553,0.0164677153455645,1.9097057700482944
handmovementdirection,1,csta_topk_uniform_top5,success,,0.2384428967090257,0.3186696900982615,0.08022679338923583,1280,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,0.4390756302521008,17,0,0,8.603325358009897,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0002848147093987,1.112372813307301e-07,1.0419447220422495,0.0740414716858557,0.2067349553419219,0.9899009169526736,0.0499999999999999,0.0,0.0,0.0,0.0,1280,1280,10,10,0.0,2.266119242263424,0.1484375,1.0,1280,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_step3_diagnostic_sweep_etafix/resnet1d_s123/g0.05_e0.25/_csta_runs/csta_topk_uniform_top5/handmovementdirection/s1/candidate_audit/handmovementdirection_s1_csta_topk_uniform_top5_candidate_audit.csv.gz,0.0499999999314343,0.2823965567471198,0.0499999999999999,0.0499999999999999,0.2067349553419219,0.0,0.0,0.9899009169526736,1.112372813307301e-07,2.266119242263424,0.1484375,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1,topk_uniform_top5,55,128,False,1.0,1.0,1.0,0,0.7521657954824004,0.7547584640415349,0.0132217261575631,2.266119242263424
handmovementdirection,2,csta_topk_uniform_top5,success,,0.2030680813439434,0.232258064516129,0.029189983172185574,1280,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,0.4675087983911513,23,0,0,10.219822048034985,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0002848142051358,1.1120390232018017e-07,1.0426744160250228,0.0741346139023504,0.2076197134120245,0.987985101412486,0.0499999999999999,0.0,0.0,0.0,0.0,1280,1280,10,10,0.0,2.234776852244379,0.1484375,1.0,1280,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_step3_diagnostic_sweep_etafix/resnet1d_s123/g0.05_e0.25/_csta_runs/csta_topk_uniform_top5/handmovementdirection/s2/candidate_audit/handmovementdirection_s2_csta_topk_uniform_top5_candidate_audit.csv.gz,0.0500000000586806,0.2786994342718197,0.0499999999999999,0.0499999999999999,0.2076197134120245,0.0,0.0,0.987985101412486,1.1120390232018017e-07,2.234776852244379,0.1484375,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1,topk_uniform_top5,55,128,False,1.0,1.0,1.0,0,0.7594804272123965,0.761819704350053,0.0119107333957204,2.234776852244379
handmovementdirection,3,csta_topk_uniform_top5,success,,0.1875628456510809,0.3099633699633699,0.12240052431228898,1280,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,0.3109890109890109,13,0,0,8.697076714015566,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0002848161991956,1.1149334335838347e-07,1.0434501137351373,0.0743730391543634,0.2037342306454194,1.0034452843727364,0.0499999999999999,0.0,0.0,0.0,0.0,1280,1280,10,10,0.0,2.2732306928336934,0.140625,1.0,1280,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_step3_diagnostic_sweep_etafix/resnet1d_s123/g0.05_e0.25/_csta_runs/csta_topk_uniform_top5/handmovementdirection/s3/candidate_audit/handmovementdirection_s3_csta_topk_uniform_top5_candidate_audit.csv.gz,0.0499999999581185,0.2762488974169271,0.0499999999999999,0.0499999999999999,0.2037342306454194,0.0,0.0,1.0034452843727364,1.1149334335838347e-07,2.2732306928336934,0.140625,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1,topk_uniform_top5,55,128,False,1.0,1.0,1.0,0,0.7623051847260964,0.7644649575641655,0.0116461000250424,2.2732306928336934
handwriting,1,csta_topk_uniform_top5,success,,0.382737297846506,0.4852065379737133,0.10246924012720732,1200,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,0.44,16,0,0,7.376447843038477,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001560871823127,0.0003235975590509,1.034424958532426,0.0531659177738841,0.8382226641760263,0.2429830989517447,0.05,0.0,0.0,0.0,0.0,1200,1200,10,10,0.4583333333333333,2.219098213268788,0.1583333333333333,1.0,1200,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_step3_diagnostic_sweep_etafix/resnet1d_s123/g0.05_e0.25/_csta_runs/csta_topk_uniform_top5/handwriting/s1/candidate_audit/handwriting_s1_csta_topk_uniform_top5_candidate_audit.csv.gz,0.042553264205338,0.3624644310350514,0.05,0.0425532640451964,0.8382226641760263,0.4583333333333333,0.0,0.2429830989517447,0.0003235975590509,2.219098213268788,0.1583333333333333,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1,topk_uniform_top5,6,120,False,1.0,1.0,1.0,0,0.7453685192797045,0.7444455584581675,0.002264257482999,2.219098213268788
