dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,activation_policy,activation_scope,activation_topk,activation_tau,operator_name,dictionary_estimator,safe_generator,bridge_realizer,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,gamma_requested_mean,gamma_used_mean,gamma_zero_rate,host_geom_cosine_mean,host_conflict_rate,candidate_total_count,aug_total_count,requested_k_dir,effective_k_dir,safe_clip_rate,template_usage_entropy,top_template_concentration,aug_valid_rate,candidate_audit_rows,candidate_audit_available,candidate_accept_rate,candidate_physics_ok,candidate_audit_path,z_displacement_norm_mean,template_response_abs_mean,template_response_top1_mean,template_response_top5_mean,template_response_gap_top1_top5_mean,template_response_entropy_mean,pre_safe_displacement_norm_mean,post_safe_displacement_norm_mean,gamma_used_ratio_mean,gamma_requested_mean_audit,gamma_used_mean_audit,safe_radius_ratio_mean_audit,safe_clip_rate_audit,gamma_zero_rate_audit,manifold_margin_mean_audit,transport_error_logeuc_mean_audit,template_response_top1_mean_audit,template_response_top5_mean_audit,template_response_gap_top1_top5_mean_audit,template_response_entropy_mean_audit,selected_template_response_abs_mean_audit,gamma_used_ratio_mean_audit,pre_safe_displacement_norm_mean_audit,post_safe_displacement_norm_mean_audit,template_usage_entropy_audit,top_template_concentration_audit,selection_stage,selector_name,feasible_rate,selector_accept_rate,pre_filter_reject_count,post_bridge_reject_count,bridge_success_rate,reject_reason_zero_gamma,reject_reason_safe_radius,reject_reason_zero_direction,reject_reason_zero_margin,reject_reason_bridge_fail,reject_reason_transport_error,relevance_score_mean,safe_balance_score_mean,fidelity_score_mean,variety_score_mean,fv_score_mean,feasible_rate_audit,selector_accept_rate_audit,relevance_score_mean_audit,safe_balance_score_mean_audit,fidelity_score_mean_audit,variety_score_mean_audit,fv_score_mean_audit,gamma_used_gt_requested_count,safe_radius_ratio_out_of_bounds_count,direction_bank_source,utilization_mode,core_training_mode,aug_train_ratio,multi_template_pairs,template_selection,zpia_z_dim,zpia_n_train,zpia_n_train_lt_z_dim,zpia_row_norm_min,zpia_row_norm_max,zpia_row_norm_mean,zpia_fallback_row_count,telm2_recon_last,telm2_recon_mean,telm2_recon_std,ag_target_norm_mean_audit,ag_pred_norm_mean_audit,ag_pred_target_cosine_mean_audit,ag_tangent_available_rate_audit,ag_fallback_rate_audit,cs_flow_target_dist_mean_audit,cs_flow_velocity_norm_mean_audit,cs_flow_pred_target_cosine_mean_audit,cs_flow_fallback_rate_audit,latent_target_dist_mean_audit,latent_target_sampling_prob_mean_audit,latent_residual_norm_mean_audit,latent_pred_velocity_norm_mean_audit,latent_pred_target_cosine_mean_audit,latent_fallback_rate_audit,task_utility_mean_audit,task_margin_mean_audit,lc_utility_mean_audit,lc_margin_mean_audit,lc_margin_target_mean_audit,lc_fallback_rate_audit,spg_grad_norm_mean_audit,spg_projected_grad_norm_mean_audit,spg_projection_energy_mean_audit,ecl_projection_energy_mean_audit,ecl_alpha_mean_audit,ecl_alignment_to_projected_gradient_mean_audit,ecl_support_noise_norm_mean_audit,ecl_fallback_rate_audit,selected_template_entropy,direction_source,operator_source,spg_zhead_train_acc,spg_zhead_train_loss_mean,spg_grad_norm_mean,spg_grad_norm_std,spg_projected_grad_norm_mean,spg_projected_grad_norm_std,spg_projection_energy,spg_projection_energy_std,spg_direction_pairwise_cosine_mean,spg_effective_aug_multiplier,spg_support_rank,spg_support_condition,spg_projection_ridge,spg_noise_sigma,spg_zhead_epochs,spg_zhead_hidden_dim,ecl_projection_energy_mean,ecl_projection_energy_std,ecl_alpha_mean,ecl_alpha_std,ecl_alignment_to_projected_gradient_mean,ecl_direction_pairwise_cosine_mean,ecl_effective_aug_multiplier,ecl_support_rank,ecl_support_noise_norm_mean,ecl_support_noise_norm_std,ecl_fallback_rate,latent_train_cosine_loss_mean,latent_train_mse_mean,latent_train_pred_target_cosine_mean,latent_pred_velocity_norm_mean,latent_pred_velocity_norm_std,latent_target_velocity_norm_mean,latent_target_velocity_norm_std,latent_target_dist_mean,latent_target_dist_std,latent_target_sampling_entropy,latent_target_sampling_entropy_by_class_mean,latent_target_sampling_entropy_by_class_min,latent_fallback_rate,latent_residual_effective_rank,latent_residual_pairwise_cosine_mean,latent_generated_direction_pairwise_cosine_mean,latent_unique_direction_ratio,latent_effective_aug_multiplier,latent_pred_target_cosine_mean,latent_hidden_width,latent_class_embedding_dim,latent_hidden_layers,latent_lambda_cos,latent_flow_epochs,latent_flow_batch_size,latent_flow_lr,latent_flow_weight_decay,latent_rbf_tau_floor,task_utility_mean,task_utility_std,task_margin_mean,task_margin_std,task_bad_margin_mass,task_wrong_pred_mass,task_sampling_entropy,task_sampling_effective_support,task_kl_task_vs_geo,task_guidance_fallback_rate,task_guidance_fallback_reason,task_invalid_candidate_rate,task_warmup_train_epochs,task_warmup_train_loss_mean,task_guidance_beta,task_guidance_margin_min,task_guidance_lambda_margin,task_guidance_max_candidates,wdba_k,wdba_max_iter,wdba_tau,dba_k,dba_max_iter
natops,1,csta_topk_uniform_top5,success,,0.9373000436629222,0.966476799110864,0.02917675544794185,1440,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,0.972027972027972,30,0,0,9.44079174194485,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0004486332146048,2.9115049204579395,1.4018361419529,0.5480701959539224,0.0240977847172584,5.82076716417455,0.1,0.1,0.0,0.0,0.0,1440.0,1440.0,10.0,10.0,0.0,2.160811559321453,0.1875,1.0,1440.0,True,1.0,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/csta_ecl_spg_pia_pilot3/resnet1d_s123/_csta_runs/csta_topk_uniform_top5/natops/s1/candidate_audit/natops_s1_csta_topk_uniform_top5_candidate_audit.csv.gz,0.0999999999718539,2.495324999413,3.457333159936591,2.551039279044512,0.906293880892079,2.1059732168111034,0.0999999999718539,0.1000000014901161,1.0,0.1,0.1,0.0240977847172584,0.0,0.0,5.82076716417455,2.9115049204579395,3.457333159936591,2.551039279044512,0.906293880892079,2.1059732168111034,2.495324999413,1.0,0.0999999999718539,0.1000000014901161,2.160811559321453,0.1875,response_only,topk_uniform_top5,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,,,,,,0.0,0.0,zpia_top1_pool,core_concat,concat_all,10.0,1.0,topk_uniform_top5,300.0,144.0,True,1.0,1.0,1.0,0.0,0.7413955341463061,0.757840911898841,0.0115851800505578,,,,0.0,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,2.160811559321453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natops,1,random_cov_state,success,,0.9373000436629222,0.9498025636352591,0.012502519972336867,1440,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,0.972027972027972,30,0,0,4.372486524051055,,,,,,,,,,2.911407129727777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natops,1,csta_template_random_within_bank,success,,0.9373000436629222,0.9548052577010072,0.017505214038085026,1440,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,csta_bank_random,0.972027972027972,30,0,0,9.133983814157546,random_within_bank,single_anchor,,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.000449141298835,2.9115067587526373,1.415505156087843,0.5650138193609437,0.02409778473141,5.82076716417455,0.1,0.1,0.0,0.0,0.0,1440.0,1440.0,10.0,10.0,0.0,2.263234759614498,0.1319444444444444,1.0,1440.0,True,1.0,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/csta_ecl_spg_pia_pilot3/resnet1d_s123/_csta_runs/csta_template_random_within_bank/natops/s1/candidate_audit/natops_s1_csta_template_random_within_bank_candidate_audit.csv.gz,0.100000000024544,1.8728027303853247,3.457333159936591,2.551039279044512,0.906293880892079,2.1059732168111034,0.100000000024544,0.1000000014901161,1.0,0.1,0.1,0.02409778473141,0.0,0.0,5.82076716417455,2.9115067587526373,3.457333159936591,2.551039279044512,0.906293880892079,2.1059732168111034,1.8728027303853247,1.0,0.100000000024544,0.1000000014901161,2.263234759614498,0.1319444444444444,response_only,random,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,,,,,,0.0,0.0,zpia_top1_pool,core_concat,concat_all,10.0,1.0,random,300.0,144.0,True,1.0,1.0,1.0,0.0,0.7413955341463061,0.757840911898841,0.0115851800505578,,,,0.0,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,2.263234759614498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natops,1,spg_pia_zhead,success,,0.9373000436629222,0.9558272359606064,0.01852719229768418,1440,10.0,10.0,covariance_state_support_projected_gradient,hard,resnet1d,True,False,none,True,support_projected_gradient_zhead,0.972027972027972,30,0,0,9.130461091175675,spg_pia_zhead,anchor_conditioned_support_projected_gradient,,,SPG-PIA,telm2_support_projection,local_margin_safe_step,whitening_coloring,0.0004475213854838,2.9140561562301013,1.367818731719529,0.5111124543218621,0.0240977847254931,5.82076716417455,0.1,0.1,0.0,0.0,0.0,1440.0,1440.0,10.0,1.0,0.0,0.0,0.0,1.0,1440.0,True,1.0,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/csta_ecl_spg_pia_pilot3/resnet1d_s123/_csta_runs/spg_pia_zhead/natops/s1/candidate_audit/natops_s1_spg_pia_zhead_candidate_audit.csv.gz,0.1,,,,,,0.1,0.1000000014849421,1.0,0.1,0.1,0.0240977847254931,0.0,0.0,5.82076716417455,2.9140561562301013,,,,,,1.0,0.1,0.1000000014849421,,,support_projected_gradient_operator,spg_pia_zhead,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,,,,,,0.0,0.0,support_projected_gradient_operator,core_concat,concat_all,10.0,,none,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,0.0071251388995693,0.002754206272067,0.4650532082307823,,,,,1.0,0.0,support_projected_gradient_operator,spg_pia_zhead,1.0,0.2002558457656414,0.0071251388995693,0.0110648367801,0.002754206272067,0.0044144338066362,0.4650532082307823,0.2037685715877636,0.9912459049726796,10.0,10.0,43265459.91717961,1e-06,0.1,50.0,600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natops,1,ecl_spg_pia_zhead,success,,0.9373000436629222,0.960670891047467,0.023370847384544757,1440,10.0,10.0,covariance_state_energy_calibrated_langevin_spg,hard,resnet1d,True,False,none,True,energy_calibrated_langevin_support_projected_gradient,0.972027972027972,30,0,0,9.29116280702874,ecl_spg_pia_zhead,anchor_conditioned_energy_calibrated_langevin_support_projected_gradient,,,ECL-SPG-PIA,telm2_support_projection,local_margin_safe_step,whitening_coloring,0.0004489050302374,2.912626006634805,1.4100615247860764,0.558310090903407,0.0240977847254931,5.82076716417455,0.1,0.1,0.0,0.0,0.0,1440.0,1440.0,10.0,1.0,0.0,0.0,0.0,1.0,1440.0,True,1.0,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/csta_ecl_spg_pia_pilot3/resnet1d_s123/_csta_runs/ecl_spg_pia_zhead/natops/s1/candidate_audit/natops_s1_ecl_spg_pia_zhead_candidate_audit.csv.gz,0.1,,,,,,0.1,0.1000000014901161,1.0,0.1,0.1,0.0240977847254931,0.0,0.0,5.82076716417455,2.912626006634805,,,,,,1.0,0.1,0.1000000014901161,,,energy_calibrated_langevin_spg_operator,ecl_spg_pia_zhead,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,,,,,,0.0,0.0,energy_calibrated_langevin_spg_operator,core_concat,concat_all,10.0,,none,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,0.0071251388995693,0.002754206272067,0.4650532082307823,0.2566363174154606,2.297302343283549,0.4385523610490342,0.9988858846010302,0.0,0.0,energy_calibrated_langevin_spg_operator,ecl_spg_pia_zhead,1.0,0.2002558457656414,0.0071251388995693,0.0110648367801,0.002754206272067,0.0044144338066362,0.4650532082307823,0.2037685715877636,0.233189543181886,10.0,10.0,43265459.91717961,1e-06,0.1,50.0,600.0,0.2566363174154606,0.2131732233643377,2.2973023432835493,1.068362318109778,0.4385523610490342,0.233189543181886,10.0,10.0,0.9988858846010302,0.0743662759450897,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natops,1,task_guided_latent_residual_flow,success,,0.9373000436629222,0.972112304503486,0.03481226084056377,1440,10.0,10.0,covariance_state_task_guided_latent_residual,hard,resnet1d,True,False,none,True,task_reweighted_residual_sampling,0.972027972027972,30,0,0,12.875289354007691,task_guided_latent_residual_flow,anchor_conditioned_task_guided_latent_residual,,,Task-Guided Latent Residual Flow,task_reweighted_latent_residual_distribution,local_margin_safe_step,whitening_coloring,0.0004475994237916,2.915124276954673,1.3579265971332188,0.5144958155978765,0.0240977847254931,5.82076716417455,0.1,0.1,0.0,0.0,0.0,1440.0,1440.0,10.0,1.0,0.0,0.0,0.0,1.0,1440.0,True,1.0,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/csta_ecl_spg_pia_pilot3/resnet1d_s123/_csta_runs/task_guided_latent_residual_flow/natops/s1/candidate_audit/natops_s1_task_guided_latent_residual_flow_candidate_audit.csv.gz,0.1,,,,,,,,,0.1,0.1,0.0240977847254931,0.0,0.0,5.82076716417455,2.915124276954673,,,,,,1.0,0.1,0.1000000014849421,,,task_guided_latent_residual_operator,task_guided_latent_residual_flow,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,,,,,,0.0,0.0,task_guided_latent_residual_operator,core_concat,concat_all,10.0,,none,,,,,,,,,,,,,,0.0,0.0,,,,0.0,6.728712450406333,0.1033804231173356,6.728712450406333,0.5549445501530987,0.2913478051538343,0.0,0.1523602761855187,2.7830236890560225,,,,0.0,,,,,,,,0.0,0.0,task_guided_latent_residual_operator,task_guided_latent_residual_flow,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0203853081911802,0.0021429411135613,0.9796146750450134,0.6470087766647339,0.1296825855970382,1.4134773948841055,0.0457259205791203,6.821546908949248,1.302949560320811,2.673989361769591,,,0.0,53.59091539497665,-0.000566414553187,0.229238023403086,1.0,10.0,0.2913478051538343,600.0,6.0,2.0,0.5,50.0,128.0,0.001,0.0001,1e-12,0.1505985160933013,0.3096803704717012,2.791374593900049,1.6956818231867927,0.0763888888888889,0.0763888888888889,2.673989361769591,14.611983380994294,0.4713563084364644,0.0,,0.0,10.0,0.4068141587078571,1.0,0.0,1.0,0.0,,,,,
natops,1,wdba_sameclass,success,,0.9373000436629222,0.9604306383507204,0.02313059468779821,1440,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.972027972027972,29,0,0,13.37752938317135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,11.578942162904728,,
natops,1,dba_sameclass,success,,0.9373000436629222,0.9555432064462351,0.01824316278331295,1440,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,0.972027972027972,20,0,0,5.157673282083124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0
natops,2,csta_topk_uniform_top5,success,,0.9070392331641024,0.96107248923737,0.05403325607326759,1440,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,1.0,14,0,0,7.414099463960156,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0004493863662795,2.914843103501098,1.4253124776353003,0.5750430026591705,0.0244874409180124,5.7362806886113855,0.1,0.1,0.0,0.0,0.0,1440.0,1440.0,10.0,10.0,0.0,2.1789852033783856,0.1944444444444444,1.0,1440.0,True,1.0,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/csta_ecl_spg_pia_pilot3/resnet1d_s123/_csta_runs/csta_topk_uniform_top5/natops/s2/candidate_audit/natops_s2_csta_topk_uniform_top5_candidate_audit.csv.gz,0.1000000000006996,2.437604747019312,3.016857740438076,2.446985785724095,0.5698719547139806,2.1699453887774984,0.1000000000006996,0.1000000014901161,1.0,0.1,0.1,0.0244874409180124,0.0,0.0,5.7362806886113855,2.914843103501098,3.016857740438076,2.446985785724095,0.5698719547139806,2.1699453887774984,2.437604747019312,1.0,0.1000000000006996,0.1000000014901161,2.1789852033783856,0.1944444444444444,response_only,topk_uniform_top5,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,,,,,,0.0,0.0,zpia_top1_pool,core_concat,concat_all,10.0,1.0,topk_uniform_top5,300.0,144.0,True,1.0,1.0,1.0,0.0,0.753430123513149,0.7592133258157752,0.0107950116523461,,,,0.0,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,2.1789852033783856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natops,2,random_cov_state,success,,0.9070392331641024,0.9665552053092653,0.05951597214516291,1440,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,1.0,30,0,0,4.33593325689435,,,,,,,,,,2.914525225864006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natops,2,csta_template_random_within_bank,success,,0.9070392331641024,0.9313457623486552,0.024306529184552783,1440,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,csta_bank_random,1.0,18,0,0,7.849129518959671,random_within_bank,single_anchor,,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0004496857909169,2.914845132412277,1.4361231555293157,0.5861202918730596,0.0244874409055776,5.7362806886113855,0.1,0.1,0.0,0.0,0.0,1440.0,1440.0,10.0,10.0,0.0,2.262440025802608,0.1319444444444444,1.0,1440.0,True,1.0,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/csta_ecl_spg_pia_pilot3/resnet1d_s123/_csta_runs/csta_template_random_within_bank/natops/s2/candidate_audit/natops_s2_csta_template_random_within_bank_candidate_audit.csv.gz,0.0999999999503794,1.723859570791028,3.016857740438076,2.446985785724095,0.5698719547139806,2.1699453887774984,0.0999999999503794,0.1000000014901161,1.0,0.1,0.1,0.0244874409055776,0.0,0.0,5.7362806886113855,2.914845132412277,3.016857740438076,2.446985785724095,0.5698719547139806,2.1699453887774984,1.723859570791028,1.0,0.0999999999503794,0.1000000014901161,2.262440025802608,0.1319444444444444,response_only,random,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,,,,,,0.0,0.0,zpia_top1_pool,core_concat,concat_all,10.0,1.0,random,300.0,144.0,True,1.0,1.0,1.0,0.0,0.753430123513149,0.7592133258157752,0.0107950116523461,,,,0.0,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,2.262440025802608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natops,2,spg_pia_zhead,success,,0.9070392331641024,0.9718951883498628,0.06485595518576037,1440,10.0,10.0,covariance_state_support_projected_gradient,hard,resnet1d,True,False,none,True,support_projected_gradient_zhead,1.0,24,0,0,8.66423715511337,spg_pia_zhead,anchor_conditioned_support_projected_gradient,,,SPG-PIA,telm2_support_projection,local_margin_safe_step,whitening_coloring,0.0004491557352024,2.917328990831358,1.4259357484692168,0.5712699975721175,0.0244874409173605,5.7362806886113855,0.1,0.1,0.0,0.0,0.0,1440.0,1440.0,10.0,1.0,0.0,0.0,0.0,1.0,1440.0,True,1.0,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/csta_ecl_spg_pia_pilot3/resnet1d_s123/_csta_runs/spg_pia_zhead/natops/s2/candidate_audit/natops_s2_spg_pia_zhead_candidate_audit.csv.gz,0.1,,,,,,0.1,0.1000000014849421,1.0,0.1,0.1,0.0244874409173605,0.0,0.0,5.7362806886113855,2.917328990831358,,,,,,1.0,0.1,0.1000000014849421,,,support_projected_gradient_operator,spg_pia_zhead,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,,,,,,0.0,0.0,support_projected_gradient_operator,core_concat,concat_all,10.0,,none,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,0.0160051001217364,0.0067761181643102,0.5107696489922346,,,,,1.0,0.0,support_projected_gradient_operator,spg_pia_zhead,1.0,0.2287942458910402,0.0160051001217364,0.0261855112524257,0.0067761181643102,0.0106461724112224,0.5107696489922345,0.1884956494302978,0.9911857473167512,10.0,10.0,44600524.44702345,1e-06,0.1,50.0,600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natops,2,ecl_spg_pia_zhead,success,,0.9070392331641024,0.9663651780667044,0.05932594490260201,1440,10.0,10.0,covariance_state_energy_calibrated_langevin_spg,hard,resnet1d,True,False,none,True,energy_calibrated_langevin_support_projected_gradient,1.0,30,0,0,9.327521602855995,ecl_spg_pia_zhead,anchor_conditioned_energy_calibrated_langevin_support_projected_gradient,,,ECL-SPG-PIA,telm2_support_projection,local_margin_safe_step,whitening_coloring,0.0004494654737726,2.9161169372588582,1.4272573564100577,0.5750933074797547,0.0244874409173605,5.7362806886113855,0.1,0.1,0.0,0.0,0.0,1440.0,1440.0,10.0,1.0,0.0,0.0,0.0,1.0,1440.0,True,1.0,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/csta_ecl_spg_pia_pilot3/resnet1d_s123/_csta_runs/ecl_spg_pia_zhead/natops/s2/candidate_audit/natops_s2_ecl_spg_pia_zhead_candidate_audit.csv.gz,0.1,,,,,,0.1,0.1000000014849421,1.0,0.1,0.1,0.0244874409173605,0.0,0.0,5.7362806886113855,2.9161169372588582,,,,,,1.0,0.1,0.1000000014849421,,,energy_calibrated_langevin_spg_operator,ecl_spg_pia_zhead,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,,,,,,0.0,0.0,energy_calibrated_langevin_spg_operator,core_concat,concat_all,10.0,,none,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,0.0160051001217364,0.0067761181643102,0.5107696489922346,0.2964162441858003,1.9130252243858128,0.4913475359938657,0.99585865702001,0.0,0.0,energy_calibrated_langevin_spg_operator,ecl_spg_pia_zhead,1.0,0.2287942458910402,0.0160051001217364,0.0261855112524257,0.0067761181643102,0.0106461724112224,0.5107696489922345,0.1884956494302978,0.2807907915660299,10.0,10.0,44600524.44702345,1e-06,0.1,50.0,600.0,0.2964162441858003,0.2227657538650757,1.9130252243858128,0.827223627146147,0.4913475359938657,0.2807907915660299,10.0,10.0,0.99585865702001,0.0780587849241141,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natops,2,task_guided_latent_residual_flow,success,,0.9070392331641024,0.9604306383507204,0.053391405186618,1440,10.0,10.0,covariance_state_task_guided_latent_residual,hard,resnet1d,True,False,none,True,task_reweighted_residual_sampling,1.0,30,0,0,12.989057837985456,task_guided_latent_residual_flow,anchor_conditioned_task_guided_latent_residual,,,Task-Guided Latent Residual Flow,task_reweighted_latent_residual_distribution,local_margin_safe_step,whitening_coloring,0.0004474913769295,2.918626412962226,1.3594411613504436,0.5147755466426834,0.0244874409173605,5.7362806886113855,0.1,0.1,0.0,0.0,0.0,1440.0,1440.0,10.0,1.0,0.0,0.0,0.0,1.0,1440.0,True,1.0,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/csta_ecl_spg_pia_pilot3/resnet1d_s123/_csta_runs/task_guided_latent_residual_flow/natops/s2/candidate_audit/natops_s2_task_guided_latent_residual_flow_candidate_audit.csv.gz,0.1,,,,,,,,,0.1,0.1,0.0244874409173605,0.0,0.0,5.7362806886113855,2.918626412962226,,,,,,1.0,0.1,0.1000000014901161,,,task_guided_latent_residual_operator,task_guided_latent_residual_flow,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,,,,,,0.0,0.0,task_guided_latent_residual_operator,core_concat,concat_all,10.0,,none,,,,,,,,,,,,,,0.0,0.0,,,,0.0,6.778858405742692,0.1045934357487264,6.778858405742692,0.5424008343862179,0.2949315266980802,0.0,0.1535239266503966,3.2280155989354373,,,,0.0,,,,,,,,0.0,0.0,task_guided_latent_residual_operator,task_guided_latent_residual_flow,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0190479103475809,0.0021644614171236,0.9809521436691284,0.6318715214729309,0.1149874031543731,1.4075092826901567,0.0363742385087194,6.734318404935067,1.221867391098044,2.6494115319124805,,,0.0,52.14710795392578,-0.0018546036392011,0.2215132709417419,1.0,10.0,0.2949315266980802,600.0,6.0,2.0,0.5,50.0,128.0,0.001,0.0001,1e-12,0.1519200741980227,0.1637821982056085,3.240677415028862,1.5934748192002617,0.0208333333333333,0.0208333333333333,2.6494115319124805,14.303870775179488,0.5123190873637332,0.0,,0.0,10.0,0.3965627272923787,1.0,0.0,1.0,0.0,,,,,
